	region	PopMale	PopFemale	PopTotal	PopDensity
1	Afghanistan	19976.265	18952.076	38928.341	59.627
2	Africa	669878.34	670719.773	1340598.113	45.216
3	African Group	668995.562	669831.029	1338826.591	45.571
4	African Union	669307.822	670116.099	1339423.921	45.182
5	African Union: Central Africa	79260.91	79358.728	158619.638	30.066
6	African Union: Eastern Africa	195662.618	196901.054	392563.672	61.404
7	African Union: Northern Africa	104150.287	102882.612	207032.899	29.429
8	African Union: Southern Africa	90292.138	93710.05	184002.188	31.143
9	African Union: Western Africa	199941.869	197263.655	397205.524	78.921
10	African, Caribbean and Pacific (ACP) Group of States	588776.009	590903.897	1179679.906	48.849
11	Albania	1464.714	1413.086	2877.8	105.029
12	Algeria	22153.808	21697.235	43851.043	18.411
13	American Samoa	NA	NA	55.197	275.985
14	Andean Community	56045.016	57125.803	113170.819	30.413
15	Andorra	NA	NA	77.265	164.394
16	Angola	16260.87	16605.398	32866.268	26.363
17	Anguilla	NA	NA	15.002	166.689
18	Antigua and Barbuda	47.269	50.659	97.928	222.564
19	Argentina	22049.146	23146.631	45195.777	16.515
20	Armenia	1393.747	1569.487	2963.234	104.083
21	Aruba	50.642	56.124	106.766	593.144
22	Asia	2373462.035	2267592.751	4641054.786	149.552
23	Asia-Pacific Economic Cooperation (APEC)	1494842.389	1477407.093	2972249.482	49.426
24	Asia-Pacific Group	2364058.09	2257624.14	4621682.23	147.46
25	Association of Southeast Asian Nations (ASEAN)	333265.465	334035.947	667301.412	154.26
26	Australia	12698.625	12801.256	25499.881	3.319
27	Australia/New Zealand	15068.788	15253.326	30322.114	3.816
28	Austria	4439.691	4566.709	9006.4	109.289
29	Azerbaijan	5064.664	5074.511	10139.175	122.664
30	BRIC	1627424.392	1550397.636	3177822.028	85.664
31	BRICS	1656640.404	1580490.314	3237130.718	84.499
32	Bahamas	191.093	202.155	393.248	39.286
33	Bahrain	1100.474	601.109	1701.583	2238.925
34	Bangladesh	83259.108	81430.275	164689.383	1265.187
35	Barbados	139.084	148.287	287.371	668.305
36	Belarus	4399.367	5049.954	9449.321	46.569
37	Belgium	5744.335	5845.281	11589.616	382.748
38	Belize	197.761	199.86	397.621	17.432
39	Belt-Road Initiative (BRI)	1699358.892	1703702.903	3403061.795	50.461
40	Belt-Road Initiative: Africa	596075.747	596583.829	1192659.576	49.226
41	Belt-Road Initiative: Asia	795803.269	776722.456	1572525.725	91.609
42	Belt-Road Initiative: Europe	196661.224	217234.151	413895.375	21.669
43	Belt-Road Initiative: Latin America and the Caribbean	103047.229	105522.726	208569.955	33.676
44	Belt-Road Initiative: Pacific	7771.423	7639.741	15411.164	20.51
45	Benin	6054.248	6068.95	12123.198	107.513
46	Bermuda	NA	NA	62.273	1245.46
47	Bhutan	410.087	361.525	771.612	20.243
48	Black Sea Economic Cooperation (BSEC)	163419.387	179937.799	343357.186	18.538
49	Bolivarian Alliance for the Americas (ALBA)	29044.343	29646.005	58690.348	26.739
50	Bolivia	5858.019	5815.01	11673.029	10.775
51	Bonaire, Sint Eustatius and Saba	NA	NA	26.221	79.942
52	Bosnia and Herzegovina	1606.609	1674.206	3280.815	64.33
53	Botswana	1139.099	1212.526	2351.625	4.149
54	Brazil	104435.783	108123.626	212559.409	25.431
55	British Virgin Islands	NA	NA	30.237	201.58
56	Brunei Darussalam	226.987	210.496	437.483	83.014
57	Bulgaria	3374.121	3574.324	6948.445	64.006
58	Burkina Faso	10444.713	10458.565	20903.278	76.401
59	Burundi	5899.864	5990.917	11890.781	463.037
60	Cabo Verde	279.117	276.871	555.988	137.962
61	Cambodia	8162.424	8556.547	16718.971	94.714
62	Cameroon	13277.075	13268.789	26545.864	56.157
63	Canada	18732.178	19009.979	37742.157	4.15
64	Caribbean	21494.216	22038.158	43532.374	192.613
65	Caribbean Community and Common Market (CARICOM)	9321.066	9528.757	18849.823	43.582
66	Cayman Islands	NA	NA	65.72	273.833
67	Central African Republic	2394.042	2435.722	4829.764	7.753
68	Central America	88051.465	91618.721	179670.186	73.267
69	Central Asia	36812.175	37526.751	74338.926	18.931
70	Central European Free Trade Agreement (CEFTA)	12614.913	13131.745	25746.658	87.771
71	Central and Southern Asia	1037597.732	977110.799	2014708.531	195.093
72	Chad	8200.17	8225.689	16425.859	13.045
73	Channel Islands	86.07	87.789	173.859	915.047
74	Chile	9425.669	9690.54	19116.209	25.71
75	China	738247.34	701076.434	1439323.774	153.312
76	China (and dependencies)	753833.419	717453.46	1471286.879	156.11
77	China, Hong Kong SAR	3439.666	4057.322	7496.988	7139.989
78	China, Macao SAR	312.1	337.242	649.342	21717.124
79	Taiwan	11834.313	11982.462	23816.775	672.6
80	Colombia	24984.564	25898.32	50882.884	45.861
81	Commonwealth of Independent States (CIS)	137505.353	153087.485	290592.838	13.688
82	Commonwealth of Nations	1313314.739	1252070.811	2565385.55	85.58
83	Commonwealth: Africa	291777.322	292216.545	583993.867	76.34
84	Commonwealth: Asia	944219.493	881433.68	1825653.173	427.406
85	Commonwealth: Caribbean and Americas	22129.328	22468.486	44597.814	4.774
86	Commonwealth: Europe	34367.349	35167.555	69534.904	276.492
87	Commonwealth: Pacific	20821.247	20784.545	41605.792	4.917
88	Comoros	438.653	430.942	869.595	467.273
89	Republic of Congo	2756.678	2761.414	5518.092	16.158
90	Cook Islands	NA	NA	17.564	73.183
91	Costa Rica	2545.076	2549.038	5094.114	99.767
92	Countries with Access to the Sea	3635228.487	3563974.844	7199203.331	63.752
93	Countries with Access to the Sea: Africa	500195.005	499014.556	999209.561	46.898
94	Countries with Access to the Sea: Asia	2291189.829	2183033.013	4474222.842	183.546
95	Countries with Access to the Sea: Europe	327753.427	351313.275	679066.702	31.665
96	Countries with Access to the Sea: Latin America and the Caribbean	312146.375	323010.398	635156.773	34.041
97	Countries with Access to the Sea: Northern America	182580.522	186289.122	368869.644	19.777
98	Countries with Access to the Sea: Oceania	21363.329	21314.48	42677.809	5.029
99	Croatia	1979.292	2125.976	4105.268	73.361
100	Cuba	5623.468	5703.148	11326.616	106.413
101	Curaçao	75.469	88.631	164.1	369.595
102	Cyprus	603.514	603.847	1207.361	130.667
103	Czech Republic	5272.522	5436.46	10708.982	138.646
104	Ivory Coast	13300.38	13077.895	26378.275	82.951
105	North Korea	12608.379	13170.436	25778.815	214.092
106	Democratic Republic of the Congo	44710.172	44851.232	89561.404	39.506
107	Denmark	2879.361	2912.842	5792.203	136.512
108	Denmark (and dependencies)	2934.591	2963.249	5897.84	12.983
109	Djibouti	518.993	469.009	988.002	42.623
110	Dominica	NA	NA	71.991	95.988
111	Dominican Republic	5418.206	5429.698	10847.904	224.501
112	ECE: North America-2	182518.194	186226.61	368744.804	20.215
113	ECE: UNECE-52	635033.425	666449.063	1301482.488	28.742
114	ECLAC: Latin America	315765.065	326168.967	641934.032	32.709
115	ECLAC: The Caribbean	5861.979	6162.838	12024.817	23.975
116	ESCAP region: East and North-East Asia	843641.423	810631.429	1654272.852	143.537
117	ESCAP region: North and Central Asia	112812.112	124552.858	237364.97	11.588
118	ESCAP region: Pacific	21357.259	21307.954	42665.213	5.028
119	ESCAP region: South and South-West Asia	1042421.682	982286.99	2024708.672	282.396
120	ESCAP region: South-East Asia	333931.707	334688.147	668619.854	154.035
121	ESCAP: ADB Developing member countries (DMCs)	2079913.169	1984321.636	4064234.805	164.725
122	ESCAP: ADB Group A (Concessional assistance only)	80964.198	84493.681	165457.879	72.81
123	ESCAP: ADB Group B (OCR blend)	937587.98	875029.171	1812617.151	286.743
124	ESCAP: ADB Group C (Regular OCR only)	1061360.991	1024798.784	2086159.775	129.745
125	ESCAP: ASEAN	333265.465	334035.947	667301.412	154.26
126	ESCAP: Central Asia	45171.813	46258.697	91430.51	22.26
127	ESCAP: ECO	259569.642	253061.151	512630.793	65.459
128	ESCAP: HDI groups	2354164.183	2273467.378	4627631.561	88.982
129	ESCAP: Landlocked countries (LLDCs)	82272.206	84559.738	166831.944	25.063
130	ESCAP: Least Developed Countries (LDCs)	156263.988	158110.185	314374.173	151.069
131	ESCAP: Pacific island dev. econ.	6288.471	6054.628	12343.099	22.828
132	ESCAP: SAARC	958377.151	897999.501	1856376.652	389.049
133	ESCAP: WB High income econ.	109934.666	113370.814	223305.48	26.466
134	ESCAP: WB Low income econ.	45933.079	47910.885	93843.964	102.38
135	ESCAP: WB Lower middle income econ.	1237839.68	1176349.52	2414189.2	234.213
136	ESCAP: WB Upper middle income econ.	960447.365	935826.37	1896273.735	58.628
137	ESCAP: WB income groups	2354154.79	2273457.589	4627612.379	88.983
138	ESCAP: high HDI	109643.588	113084.663	222728.251	26.467
139	ESCAP: high income	109757.335	113198.85	222956.185	26.438
140	ESCAP: income groups	2354164.183	2273467.378	4627631.561	88.982
141	ESCAP: low HDI	996463.508	937395.279	1933858.787	301.292
142	ESCAP: low income	1077477.105	1019258.003	2096735.108	280.886
143	ESCAP: lower middle HDI	1053205.101	1016510.675	2069715.776	136.755
144	ESCAP: lower middle income	293095.304	293122.65	586217.954	89.642
145	ESCAP: other Asia-Pacific countries/areas	107697.966	93130.167	200828.133	51.745
146	ESCAP: upper middle HDI	194851.986	206476.761	401328.747	18.211
147	ESCAP: upper middle income	873834.439	847887.875	1721722.314	58.228
148	ESCWA: Arab countries	226176.521	210202.354	436378.875	33.541
149	ESCWA: Arab least developed countries	48148.994	47926.719	96075.713	24.163
150	ESCWA: Gulf Cooperation Council countries	36217.942	22446.153	58664.095	22.8
151	ESCWA: Maghreb countries	49800.184	49651.322	99451.506	20.968
152	ESCWA: Mashreq countries	92009.401	90178.16	182187.561	106.02
153	ESCWA: member countries	195140.98	179636.036	374777.016	37.567
154	East African Community (EAC)	96986.533	98296.699	195283.232	84.317
155	Eastern Africa	221039.935	224365.643	445405.578	66.803
156	Eastern Asia	855475.736	822613.891	1678089.627	145.158
157	Eastern Europe	137829.972	155183.238	293013.21	16.231
158	Eastern European Group	160665.579	179165.874	339831.453	18.191
159	Eastern and South-Eastern Asia	1189407.443	1157302.038	2346709.481	147.581
160	Economic Community of Central African States (ECCAS)	101889.211	102548.904	204438.115	31.225
161	Economic Community of West African States (ECOWAS)	199941.869	197263.655	397205.524	78.921
162	Economic Cooperation Organization (ECO)	259569.642	253061.151	512630.793	65.459
163	Ecuador	8823.827	8819.233	17643.06	71.038
164	Egypt	51702.862	50631.541	102334.403	102.802
165	El Salvador	3036.424	3449.777	6486.201	313.041
166	Equatorial Guinea	780.38	622.605	1402.985	50.017
167	Eritrea	1777.548	1768.879	3546.427	35.113
168	Estonia	628.456	698.083	1326.539	31.294
169	Eswatini	570.236	589.928	1160.164	67.451
170	Ethiopia	57516.835	57446.748	114963.583	114.964
171	Eurasian Economic Community (Eurasec)	105882.531	117808.989	223691.52	11.164
172	Europe	361060.973	386575.072	747636.045	33.776
173	Europe	361060.973	386575.072	747636.045	33.776
174	Europe (48)	361060.973	386575.072	747636.045	33.776
175	Europe and Northern America	543641.495	572864.194	1116505.689	27.374
176	European Community (EC: 12)	188832.221	196028.078	384860.299	165.22
177	European Free Trade Agreement (EFTA)	7223.9	7231.347	14455.247	28.613
178	European Union (EU: 15)	201063.265	208443.422	409506.687	130.999
179	European Union (EU: 28)	251255.705	261880.821	513136.526	121.029
180	Falkland Islands (Malvinas)	NA	NA	3.483	0.286
181	Faroe Islands	NA	NA	48.865	35.004
182	Fiji	454.018	442.426	896.444	49.066
183	Finland	2732.406	2808.312	5540.718	18.233
184	France	31589.195	33684.317	65273.512	119.209
185	France (and dependencies)	32978.761	35168.926	68147.687	103.614
186	French Guiana	147.75	150.932	298.682	3.634
187	French Polynesia	142.261	138.643	280.904	76.75
188	Gabon	1132.854	1092.874	2225.728	8.638
189	Gambia	1198.54	1218.124	2416.664	238.801
190	Georgia	1901.227	2087.948	3989.175	57.406
191	Germany	41415.911	42368.034	83783.945	240.372
192	Ghana	15749.999	15322.946	31072.945	136.56
193	Gibraltar	NA	NA	33.691	3369.1
194	Greater Arab Free Trade Area (GAFTA)	214959.807	199018.592	413978.399	36.547
195	Greece	5115.826	5307.23	10423.056	80.862
196	Greenland	NA	NA	56.772	0.138
197	Grenada	56.666	55.853	112.519	330.938
198	Group of 77 (G77)	3119335.668	3015943.799	6135279.467	82.608
199	Group of Eight (G8)	447896.784	470664.227	918561.011	25.225
200	Group of Seven (G7)	380256.485	392370.066	772626.551	38.559
201	Group of Twenty (G20) - member states	2359867.294	2293464.124	4653331.418	61.602
202	Guadeloupe	184.556	215.571	400.127	245.778
203	Guam	85.14	83.643	168.783	312.561
204	Guatemala	8827.109	9088.458	17915.567	167.185
205	Guinea	6353.234	6779.558	13132.792	53.446
206	Guinea-Bissau	962.695	1005.303	1967.998	69.986
207	Gulf Cooperation Council (GCC)	36217.942	22446.153	58664.095	22.8
208	Guyana	395.549	391.01	786.559	3.996
209	Haiti	5626.445	5776.088	11402.533	413.735
210	High-income countries	628969.382	634123.552	1263092.934	33.339
211	Holy See	NA	NA	0.809	1838.636
