"location","date","new_cases_per_million","new_deaths_per_million","icu_patients_per_million","people_vaccinated_per_hundred"
"1","France",2020-02-15,0.015,0.015,NA,NA
"2","France",2020-02-26,0.059,0.015,NA,NA
"3","France",2020-03-02,0.903,0.015,NA,NA
"4","France",2020-03-03,0.311,0.015,NA,NA
"5","France",2020-03-05,2.043,0.044,0.34,NA
"6","France",2020-03-06,2.812,0.03,0.577,NA
"7","France",2020-03-07,4.914,0.104,0.666,NA
"8","France",2020-03-08,2.62,0.044,NA,NA
"9","France",2020-03-09,4.233,0.089,0.977,NA
"10","France",2020-03-10,5.506,0.118,1.273,NA
"11","France",2020-03-11,7.548,0.222,1.554,NA
"12","France",2020-03-13,20.543,0.459,NA,NA
"13","France",2020-03-14,12.063,0.178,4.44,NA
"14","France",2020-03-16,31.836,0.858,NA,NA
"15","France",2020-03-19,27.322,1.406,14.83,NA
"16","France",2020-03-20,26.464,3.064,19.197,NA
"17","France",2020-03-21,25.235,1.658,21.505,NA
"18","France",2020-03-22,33.968,1.672,24.776,NA
"19","France",2020-03-23,49.804,2.753,30.786,NA
"20","France",2020-03-24,33.287,3.552,37.046,NA
"21","France",2020-03-25,43.84,3.419,43.44,NA
"22","France",2020-03-26,57.989,5.387,49.597,NA
"23","France",2020-03-27,56.169,4.425,55.621,NA
"24","France",2020-03-28,68.749,4.707,62.696,NA
"25","France",2020-03-29,38.526,4.351,67.965,NA
"26","France",2020-03-30,64.442,6.187,74.832,NA
"27","France",2020-03-31,112.915,7.4,81.345,NA
"28","France",2020-04-01,71.695,18.531,87.916,NA
"29","France",2020-04-02,31.17,9.014,93.319,NA
"30","France",2020-04-03,77.319,16.606,97.034,NA
"31","France",2020-04-05,12.655,7.682,101.518,NA
"32","France",2020-04-06,39.281,12.329,102.835,NA
"33","France",2020-04-08,57.057,8.052,103.886,NA
"34","France",2020-04-09,56.006,19.833,102.673,NA
"35","France",2020-04-10,23.163,14.579,101.755,NA
"36","France",2020-04-11,21.387,9.413,99.935,NA
"37","France",2020-04-12,751.078,8.303,99.372,NA
"38","France",2020-04-13,46.489,8.481,99.017,NA
"39","France",2020-04-14,258.243,10.997,97.67,NA
"40","France",2020-04-15,47.481,21.283,93.703,NA
"41","France",2020-04-16,186.164,11.145,90.862,NA
"42","France",2020-04-17,27.988,11.263,87.65,NA
"43","France",2020-04-18,56.332,9.487,84.853,NA
"44","France",2020-04-19,16.162,5.757,83.535,NA
