ID	Hypersaline	Marine Sediment	Estuary	Mangrove	Hydrothermal vent
Heim_AB125	No	Yes	No	No	Yes
Heim_LC2	No	Yes	No	No	Yes
Heim_LC3	No	Yes	No	No	Yes
Baja_Thor	Yes	No	No	No	No
Thor_AB25	Yes	No	Yes	No	No
Thor_MP11T	Yes	No	Yes	Yes	No
Thor_SMTZ45	Yes	No	Yes	No	No
Thor_SMTZ_145	Yes	No	Yes	No	No
Thor_MP8T	Yes	No	Yes	Yes	No
Thor_MP9T	Yes	No	Yes	Yes	No
Thor_SMTZ_183	Yes	No	Yes	No	No
Odin_LCB4	No	No	No	No	Yes
Loki_CR4	Yes	Yes	Yes	No	No
Loki_GC14	Yes	Yes	Yes	No	No
Baja_Loki2	Yes	Yes	Yes	No	No
Baja_Loki1	Yes	Yes	Yes	No	No
Baja_Loki3	Yes	Yes	Yes	Yes	Yes
