	gene
1	ENSG00000110852
2	ENSG00000151303
3	ENSG00000176998
4	ENSG00000168491
5	ENSG00000205673
6	ENSG00000169245
7	ENSG00000147041
8	ENSG00000168269
9	ENSG00000064205
10	ENSG00000182533
11	ENSG00000104081
12	ENSG00000224165
13	ENSG00000229178
14	ENSG00000186973
15	ENSG00000183941
16	ENSG00000228393
17	ENSG00000241104
18	ENSG00000090238
19	ENSG00000261485
20	ENSG00000179059
21	ENSG00000243926
22	ENSG00000137393
23	ENSG00000227518
24	ENSG00000174788
25	ENSG00000225880
26	ENSG00000138395
27	ENSG00000211451
28	ENSG00000150347
29	ENSG00000257815
30	ENSG00000178977
31	ENSG00000260000
32	ENSG00000266017
33	ENSG00000185432
34	ENSG00000256018
35	ENSG00000170271
36	ENSG00000223969
37	ENSG00000166046
38	ENSG00000177692
39	ENSG00000163283
40	ENSG00000165272
41	ENSG00000169248
42	ENSG00000245317
43	ENSG00000164938
44	ENSG00000146278
45	ENSG00000261572
46	ENSG00000204176
47	ENSG00000186340
48	ENSG00000114796
49	ENSG00000236423
50	ENSG00000223891
51	ENSG00000253671
52	ENSG00000247400
53	ENSG00000241014
54	ENSG00000239569
55	ENSG00000246526
56	ENSG00000156804
57	ENSG00000143434
58	ENSG00000148735
59	ENSG00000263412
60	ENSG00000224418
61	ENSG00000188277
62	ENSG00000224424
63	ENSG00000260604
64	ENSG00000164463
65	ENSG00000236859
66	ENSG00000196331
67	ENSG00000258708
68	ENSG00000130701
69	ENSG00000260081
70	ENSG00000215033
71	ENSG00000215020
72	ENSG00000255153
73	ENSG00000176046
74	ENSG00000204802
75	ENSG00000162616
76	ENSG00000261094
77	ENSG00000107099
78	ENSG00000261455
79	ENSG00000180938
80	ENSG00000170577
81	ENSG00000244041
82	ENSG00000171992
83	ENSG00000206417
84	ENSG00000196787
85	ENSG00000122691
86	ENSG00000174514
87	ENSG00000260942
88	ENSG00000261135
89	ENSG00000165879
90	ENSG00000147003
91	ENSG00000133639
92	ENSG00000255353
93	ENSG00000260329
94	ENSG00000228451
95	ENSG00000182359
96	ENSG00000234869
97	ENSG00000203813
98	ENSG00000109436
99	ENSG00000206337
100	ENSG00000100439
101	ENSG00000187678
102	ENSG00000168389
103	ENSG00000224882
104	ENSG00000175920
105	ENSG00000244405
106	ENSG00000175592
107	ENSG00000131746
108	ENSG00000164400
109	ENSG00000253930
110	ENSG00000109321
111	ENSG00000163376
112	ENSG00000181026
113	ENSG00000120875
114	ENSG00000103044
115	ENSG00000142627
116	ENSG00000266651
117	ENSG00000169429
118	ENSG00000128342
119	ENSG00000113070
120	ENSG00000139318
121	ENSG00000120217
122	ENSG00000181773
123	ENSG00000181649
124	ENSG00000104689
125	ENSG00000124882
126	ENSG00000110092
127	ENSG00000137331
128	ENSG00000188211
129	ENSG00000183691
130	ENSG00000179598
131	ENSG00000228612
132	ENSG00000186523
133	ENSG00000158050
134	ENSG00000125740
135	ENSG00000173846
136	ENSG00000226380
137	ENSG00000205595
138	ENSG00000135074
139	ENSG00000256268
140	ENSG00000197646
141	ENSG00000179041
142	ENSG00000169247
143	ENSG00000244165
144	ENSG00000134070
145	ENSG00000247626
146	ENSG00000258077
147	ENSG00000165732
148	ENSG00000164086
149	ENSG00000055483
150	ENSG00000120833
151	ENSG00000231298
152	ENSG00000135763
153	ENSG00000149633
154	ENSG00000087494
155	ENSG00000230439
156	ENSG00000120738
157	ENSG00000227473
158	ENSG00000163811
159	ENSG00000167173
160	ENSG00000118503
161	ENSG00000125538
162	ENSG00000157193
163	ENSG00000130810
164	ENSG00000148840
165	ENSG00000212724
166	ENSG00000178409
167	ENSG00000139289
168	ENSG00000178502
169	ENSG00000183579
170	ENSG00000132326
171	ENSG00000111641
172	ENSG00000101096
173	ENSG00000107815
174	ENSG00000054967
175	ENSG00000171084
176	ENSG00000162413
177	ENSG00000118523
178	ENSG00000242261
179	ENSG00000162377
180	ENSG00000158125
181	ENSG00000244026
182	ENSG00000115604
183	ENSG00000100234
184	ENSG00000159399
185	ENSG00000106366
186	ENSG00000129911
187	ENSG00000196878
188	ENSG00000172927
189	ENSG00000164171
190	ENSG00000101384
191	ENSG00000110104
192	ENSG00000114737
193	ENSG00000104368
194	ENSG00000188807
195	ENSG00000134955
196	ENSG00000160401
197	ENSG00000185022
198	ENSG00000170425
199	ENSG00000175591
200	ENSG00000107554
