lat,lon,elevation,time
55.721653000,13.218106000,74.2,2016-07-21T14:54:18Z
55.721628000,13.218266000,74.3,2016-07-21T14:54:27Z
55.721606000,13.218408000,74.4,2016-07-21T14:54:30Z
55.721594000,13.218581000,74.4,2016-07-21T14:54:33Z
55.721597000,13.218772000,74.5,2016-07-21T14:54:37Z
55.721650000,13.218904000,74.6,2016-07-21T14:54:40Z
55.721647000,13.219053000,74.8,2016-07-21T14:54:43Z
55.721631000,13.219229000,75.0,2016-07-21T14:54:46Z
55.721654000,13.219389000,75.2,2016-07-21T14:54:50Z
55.721650000,13.219556000,75.4,2016-07-21T14:54:54Z
55.721660000,13.219727000,75.6,2016-07-21T14:54:57Z
55.721673000,13.219898000,75.8,2016-07-21T14:55:00Z
55.721670000,13.220050000,76.0,2016-07-21T14:55:03Z
55.721683000,13.220194000,76.2,2016-07-21T14:55:07Z
55.721693000,13.220357000,76.4,2016-07-21T14:55:10Z
55.721696000,13.220513000,76.6,2016-07-21T14:55:13Z
55.721704000,13.220683000,76.8,2016-07-21T14:55:16Z
55.721717000,13.220836000,77.0,2016-07-21T14:55:20Z
55.721714000,13.221008000,77.2,2016-07-21T14:55:23Z
55.721706000,13.221197000,77.4,2016-07-21T14:55:27Z
55.721698000,13.221379000,77.5,2016-07-21T14:55:31Z
55.721702000,13.221551000,77.6,2016-07-21T14:55:35Z
55.721714000,13.221723000,77.5,2016-07-21T14:55:38Z
55.721794000,13.221806000,77.5,2016-07-21T14:55:43Z
55.721890000,13.221874000,77.5,2016-07-21T14:55:47Z
55.721994000,13.221954000,77.5,2016-07-21T14:55:50Z
55.722078000,13.221975000,77.4,2016-07-21T14:55:53Z
55.722174000,13.222025000,77.3,2016-07-21T14:55:59Z
55.722263000,13.222037000,77.2,2016-07-21T14:56:03Z
55.722358000,13.222123000,77.1,2016-07-21T14:56:06Z
55.722469000,13.222124000,77.0,2016-07-21T14:56:10Z
55.722561000,13.222161000,76.9,2016-07-21T14:56:13Z
55.722646000,13.222222000,76.8,2016-07-21T14:56:16Z
55.722723000,13.222163000,76.9,2016-07-21T14:56:20Z
55.722827000,13.222202000,77.0,2016-07-21T14:56:23Z
55.722914000,13.222261000,77.0,2016-07-21T14:56:27Z
55.723001000,13.222302000,77.0,2016-07-21T14:56:30Z
55.723105000,13.222352000,77.0,2016-07-21T14:56:34Z
55.723147000,13.222195000,77.0,2016-07-21T14:56:39Z
