	gene
1	ENSG00000245904
2	ENSG00000253944
3	ENSG00000204941
4	ENSG00000110852
5	ENSG00000168491
6	ENSG00000151303
7	ENSG00000221826
8	ENSG00000095370
9	ENSG00000176040
10	ENSG00000199004
11	ENSG00000064205
12	ENSG00000129757
13	ENSG00000205673
14	ENSG00000150625
15	ENSG00000243244
16	ENSG00000248927
17	ENSG00000013297
18	ENSG00000165272
19	ENSG00000118194
20	ENSG00000255337
21	ENSG00000174473
22	ENSG00000124467
23	ENSG00000165269
24	ENSG00000117586
25	ENSG00000231924
26	ENSG00000183941
27	ENSG00000139055
28	ENSG00000262188
29	ENSG00000147041
30	ENSG00000163884
31	ENSG00000184115
32	ENSG00000182217
33	ENSG00000164938
34	ENSG00000205634
35	ENSG00000111644
36	ENSG00000186496
37	ENSG00000130653
38	ENSG00000182533
39	ENSG00000188095
40	ENSG00000133710
41	ENSG00000157131
42	ENSG00000243926
43	ENSG00000163283
44	ENSG00000198520
45	ENSG00000236123
46	ENSG00000147576
47	ENSG00000113946
48	ENSG00000165091
49	ENSG00000176046
50	ENSG00000253671
51	ENSG00000224165
52	ENSG00000224259
53	ENSG00000243137
54	ENSG00000166793
55	ENSG00000178977
56	ENSG00000175155
57	ENSG00000090238
58	ENSG00000143365
59	ENSG00000170271
60	ENSG00000186973
61	ENSG00000115738
62	ENSG00000154175
63	ENSG00000180209
64	ENSG00000167476
65	ENSG00000131400
66	ENSG00000137393
67	ENSG00000148735
68	ENSG00000187066
69	ENSG00000174788
70	ENSG00000241104
71	ENSG00000235618
72	ENSG00000167653
73	ENSG00000150347
74	ENSG00000196917
75	ENSG00000198150
76	ENSG00000064787
77	ENSG00000167744
78	ENSG00000261168
79	ENSG00000164675
80	ENSG00000100385
81	ENSG00000236384
82	ENSG00000224984
83	ENSG00000166825
84	ENSG00000159915
85	ENSG00000154035
86	ENSG00000213366
87	ENSG00000104081
88	ENSG00000254024
89	ENSG00000164463
90	ENSG00000105639
91	ENSG00000227885
92	ENSG00000171992
93	ENSG00000169583
94	ENSG00000232859
95	ENSG00000123405
96	ENSG00000094755
97	ENSG00000183668
98	ENSG00000260976
99	ENSG00000235888
100	ENSG00000257556
101	ENSG00000101096
102	ENSG00000175592
103	ENSG00000164400
104	ENSG00000168389
105	ENSG00000187678
106	ENSG00000163376
107	ENSG00000181026
108	ENSG00000231298
109	ENSG00000175832
110	ENSG00000244405
111	ENSG00000115590
112	ENSG00000002079
113	ENSG00000227473
114	ENSG00000229091
115	ENSG00000092853
116	ENSG00000171793
117	ENSG00000261428
118	ENSG00000120875
119	ENSG00000236809
120	ENSG00000205595
121	ENSG00000157193
122	ENSG00000181773
123	ENSG00000179041
124	ENSG00000103044
125	ENSG00000142623
126	ENSG00000123977
127	ENSG00000236972
128	ENSG00000184844
129	ENSG00000135318
130	ENSG00000109321
131	ENSG00000075702
132	ENSG00000067798
133	ENSG00000065328
134	ENSG00000135763
135	ENSG00000181649
136	ENSG00000158125
137	ENSG00000164045
138	ENSG00000147614
139	ENSG00000169429
140	ENSG00000102359
141	ENSG00000093009
142	ENSG00000213397
143	ENSG00000188211
144	ENSG00000113070
145	ENSG00000144583
146	ENSG00000257184
147	ENSG00000054967
148	ENSG00000172927
149	ENSG00000109971
150	ENSG00000247626
151	ENSG00000175305
152	ENSG00000239264
153	ENSG00000163710
154	ENSG00000228612
155	ENSG00000149633
156	ENSG00000256663
157	ENSG00000227288
158	ENSG00000130810
159	ENSG00000230439
160	ENSG00000105173
161	ENSG00000165732
162	ENSG00000234964
163	ENSG00000214706
164	ENSG00000175920
165	ENSG00000124882
166	ENSG00000256268
167	ENSG00000142627
168	ENSG00000244165
169	ENSG00000154127
170	ENSG00000007968
171	ENSG00000118503
172	ENSG00000197646
173	ENSG00000084774
174	ENSG00000171848
175	ENSG00000171791
176	ENSG00000112759
177	ENSG00000101412
178	ENSG00000134802
179	ENSG00000094804
180	ENSG00000165490
181	ENSG00000178409
182	ENSG00000176170
183	ENSG00000110104
184	ENSG00000246334
185	ENSG00000164362
186	ENSG00000125885
187	ENSG00000131746
188	ENSG00000242261
189	ENSG00000125618
190	ENSG00000128342
191	ENSG00000160818
192	ENSG00000212232
193	ENSG00000226723
194	ENSG00000178502
195	ENSG00000102962
196	ENSG00000139278
197	ENSG00000242114
198	ENSG00000118894
199	ENSG00000111641
200	ENSG00000104689
