"species","island","latitude","longitude"
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Torgersen",-64.7663,-64.0835
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Dream",-64.7269,-64.2352
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
"Adelie","Biscoe",-66.1859,-66.7305
